min_samples,entropy_threshold,unique_ratio_threshold,primary_cell_count,macro_attack_alert_rate,macro_benign_trigger_rate,macro_FNR,macro_balanced_precision,macro_J,macro_B2_J,macro_delta_J_new_vs_B2
8,7.0,0.95,8,0.3063888888888889,0.1798611111111111,0.6936111111111111,0.5632638888888889,0.12652777777777777,0.0,0.12652777777777777
8,7.0,0.99,8,0.18291666666666667,0.005138888888888889,0.8170833333333334,0.5888888888888889,0.17777777777777778,0.0,0.17777777777777778
8,8.0,0.95,8,0.024999999999999998,0.0016666666666666668,0.975,0.5116666666666667,0.023333333333333334,0.0,0.023333333333333334
8,8.0,0.99,8,0.008333333333333333,0.0,0.9916666666666667,0.5041666666666667,0.008333333333333333,0.0,0.008333333333333333
16,7.0,0.95,8,0.3063888888888889,0.1798611111111111,0.6936111111111111,0.5632638888888889,0.12652777777777777,0.0,0.12652777777777777
16,7.0,0.99,8,0.18291666666666667,0.005138888888888889,0.8170833333333334,0.5888888888888889,0.17777777777777778,0.0,0.17777777777777778
16,8.0,0.95,8,0.024999999999999998,0.0016666666666666668,0.975,0.5116666666666667,0.023333333333333334,0.0,0.023333333333333334
16,8.0,0.99,8,0.008333333333333333,0.0,0.9916666666666667,0.5041666666666667,0.008333333333333333,0.0,0.008333333333333333
24,7.0,0.95,8,0.3063888888888889,0.1798611111111111,0.6936111111111111,0.5632638888888889,0.12652777777777777,0.0,0.12652777777777777
24,7.0,0.99,8,0.18291666666666667,0.005138888888888889,0.8170833333333334,0.5888888888888889,0.17777777777777778,0.0,0.17777777777777778
24,8.0,0.95,8,0.024999999999999998,0.0016666666666666668,0.975,0.5116666666666667,0.023333333333333334,0.0,0.023333333333333334
24,8.0,0.99,8,0.008333333333333333,0.0,0.9916666666666667,0.5041666666666667,0.008333333333333333,0.0,0.008333333333333333
48,7.0,0.95,8,0.3063888888888889,0.1798611111111111,0.6936111111111111,0.5632638888888889,0.12652777777777777,0.0,0.12652777777777777
48,7.0,0.99,8,0.18291666666666667,0.005138888888888889,0.8170833333333334,0.5888888888888889,0.17777777777777778,0.0,0.17777777777777778
48,8.0,0.95,8,0.024999999999999998,0.0016666666666666668,0.975,0.5116666666666667,0.023333333333333334,0.0,0.023333333333333334
48,8.0,0.99,8,0.008333333333333333,0.0,0.9916666666666667,0.5041666666666667,0.008333333333333333,0.0,0.008333333333333333
