level_samples_per_window,behavior,run_idx,seed,decisions,offered_fragments_per_second,measurement_seconds,actual_queries_per_second,actual_fragments_per_second,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean,raw_decisions_file,raw_decisions_sha256
600,random2048,0,80262610,300,299.500000,1.022069,293.522239,293.522239,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.9660,8.9938,603.143,0.8684,raw_decisions/high_load/random2048/level_600/run_00_seed_80262610.jsonl,d62955e0e42a5f6dc6f75df4031c6cc184f5ba39ed62c09a938f2e2ab5705d2d
600,random2048,1,80262611,300,299.500000,1.124552,266.772808,266.772808,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.9695,9.0136,600.110,0.8771,raw_decisions/high_load/random2048/level_600/run_01_seed_80262611.jsonl,c2a684685d9a678f836470c89feec177cda329921fc4b4043ed6368be153ea2b
600,random2048,2,80262612,300,299.500000,1.045695,286.890628,286.890628,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.9459,8.9849,588.580,0.8768,raw_decisions/high_load/random2048/level_600/run_02_seed_80262612.jsonl,89d6896a37032d1988567711ae8816f48797ae183ee65b932bfbcb88e9eaccf0
600,random2048,3,80262613,300,299.500000,0.987110,303.917489,303.917489,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.9482,9.0017,589.943,0.8769,raw_decisions/high_load/random2048/level_600/run_03_seed_80262613.jsonl,32dca93417a8e5818a93b11c4bde29d08cad0d66f0483cb45a461da60f9c0a2f
600,random2048,4,80262614,300,299.500000,1.100597,272.579341,272.579341,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.9170,8.9662,582.353,0.8689,raw_decisions/high_load/random2048/level_600/run_04_seed_80262614.jsonl,42207c3f980246f29a291cf098bd5a6af2af0110f833ab522aec5f14e27fabd8
600,random2048,5,80262615,300,299.500000,0.994986,301.511894,301.511894,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.8978,8.9160,565.317,0.8786,raw_decisions/high_load/random2048/level_600/run_05_seed_80262615.jsonl,b6420ac42be18737295a3444f112581b6058f51934e2ab425cf82654f7d4a53d
600,random2048,6,80262616,300,299.500000,0.957009,313.476647,313.476647,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.8994,8.9860,572.403,0.8748,raw_decisions/high_load/random2048/level_600/run_06_seed_80262616.jsonl,9e95caef9eb342aae0fdf21d9bc0e9eae8d1acc056a46fee125ef2c8bed2071d
600,random2048,7,80262617,300,299.500000,1.152922,260.208364,260.208364,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.9086,8.9515,588.823,0.8575,raw_decisions/high_load/random2048/level_600/run_07_seed_80262617.jsonl,a09c55fccd8d5627d811452709ae9bb0daf9ec7aaa08c1aa213ddedd6b5a5f7b
600,random2048,8,80262618,300,299.500000,1.021368,293.723726,293.723726,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.9051,8.9234,590.067,0.8554,raw_decisions/high_load/random2048/level_600/run_08_seed_80262618.jsonl,fc343f2b5206c857f4e10bcf1fc7622a1b9988d45b1af1429588527ae97bab00
600,random2048,9,80262619,300,299.500000,1.099336,272.891956,272.891956,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.8254,8.8472,553.363,0.8613,raw_decisions/high_load/random2048/level_600/run_09_seed_80262619.jsonl,08c93b87f13a1607c150c21feb28493fcde98721dc035127ea11f0cbfc8c7918
600,random2048,10,80262620,300,299.500000,0.965532,310.709395,310.709395,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,8.9420,8.9633,600.097,0.8625,raw_decisions/high_load/random2048/level_600/run_10_seed_80262620.jsonl,924349e4a53f64178cd4c123851ef6b6c2ec3dce687d1f131bbd8b7904abdd53
