behavior,level_samples_per_window,actual_samples_mean,actual_fragments_per_second_mean,variant,n_runs,blocks_total,decisions_total,runs_with_any_fp,fpr_pooled,fpr_run_mean,fpr_run_ci_lo,fpr_run_ci_hi,fpr_cluster_ci_lo,fpr_cluster_ci_hi,run_any_fp_cp_ci_lo,run_any_fp_cp_ci_hi
random2048,5,4.967999999999999,2.0076208522880807,legacy,20,6000,6000,20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831567,1.000000
random2048,5,4.967999999999999,2.0076208522880807,combined,20,0,6000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168433
random2048,5,4.967999999999999,2.0076208522880807,volume,20,0,6000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168433
random2048,5,4.967999999999999,2.0076208522880807,entropy,20,0,6000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168433
random2048,5,4.967999999999999,2.0076208522880807,unique,20,5997,6000,20,0.999500,0.999500,0.998737,1.000263,0.998667,1.000000,0.831567,1.000000
random2048,12,11.708833333333335,5.375976143532226,legacy,20,6000,6000,20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831567,1.000000
random2048,12,11.708833333333335,5.375976143532226,combined,20,4,6000,2,0.000667,0.000667,-0.000419,0.001752,0.000000,0.001833,0.012349,0.316983
random2048,12,11.708833333333335,5.375976143532226,volume,20,4,6000,2,0.000667,0.000667,-0.000419,0.001752,0.000000,0.001833,0.012349,0.316983
random2048,12,11.708833333333335,5.375976143532226,entropy,20,762,6000,20,0.127000,0.127000,0.106786,0.147214,0.109667,0.146000,0.831567,1.000000
random2048,12,11.708833333333335,5.375976143532226,unique,20,6000,6000,20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831567,1.000000
random2048,18,18.151333333333334,8.592480628785015,legacy,20,6000,6000,20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831567,1.000000
random2048,18,18.151333333333334,8.592480628785015,combined,20,600,6000,20,0.100000,0.100000,0.070674,0.129326,0.073833,0.128000,0.831567,1.000000
random2048,18,18.151333333333334,8.592480628785015,volume,20,600,6000,20,0.100000,0.100000,0.070674,0.129326,0.073833,0.128000,0.831567,1.000000
