level_samples_per_window,behavior,run_idx,seed,decisions,offered_fragments_per_second,measurement_seconds,actual_queries_per_second,actual_fragments_per_second,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean,raw_decisions_file,raw_decisions_sha256
5,random2048,0,20760825,300,2.000000,142.435099,2.106222,2.106222,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2831,3.1775,5.380,0.9986,raw_decisions/main/random2048/level_5/run_00_seed_20760825.jsonl,2522e79cb56352d28629f9175f3acb225b98329d2f4070059d80e761593e58dc
5,random2048,1,20760826,300,2.000000,152.164307,1.971553,1.971553,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1533,3.0000,4.877,0.9995,raw_decisions/main/random2048/level_5/run_01_seed_20760826.jsonl,c209e542875746d0e8a8f4dcb689472a156e4d708898904dea9a5ef055a985e4
5,random2048,2,20760827,300,2.000000,154.803660,1.937939,1.937939,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1430,3.0000,4.913,1.0000,raw_decisions/main/random2048/level_5/run_02_seed_20760827.jsonl,234416d0c17561404a1dc25fd091c3bc3f50e74e7f72b33004a9bf148bacee16
5,random2048,3,20760828,300,2.000000,141.864807,2.114689,2.114689,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2507,3.1699,5.143,1.0000,raw_decisions/main/random2048/level_5/run_03_seed_20760828.jsonl,6f99d61f616bb68c30dfd2bb8cb3953a8a0eb3249a12a595bde730b1d7eb2f3e
5,random2048,4,20760829,300,2.000000,148.950378,2.014094,2.014094,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2147,3.3219,5.113,1.0000,raw_decisions/main/random2048/level_5/run_04_seed_20760829.jsonl,913352cd9a383601702633c839d0c795d05684fb3d25f090901f87eca201c733
5,random2048,5,20760830,300,2.000000,161.783481,1.854330,1.854330,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.0931,3.0000,4.650,1.0000,raw_decisions/main/random2048/level_5/run_05_seed_20760830.jsonl,e20593663c6f437d4d48ddb8a798cafcecaade70733f20bbd8c4b8fc3469dc6c
5,random2048,6,20760831,300,2.000000,153.884589,1.949513,1.949513,300,0,0,0,299,1.000000,0.000000,0.000000,0.000000,0.996667,2.1323,3.0000,4.733,0.9937,raw_decisions/main/random2048/level_5/run_06_seed_20760831.jsonl,0227dcf16470996be44fee2109b2685539a086f1f5a5e25f05a6a7b061fddf2f
5,random2048,7,20760832,300,2.000000,138.011982,2.173724,2.173724,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2740,3.0000,5.170,1.0000,raw_decisions/main/random2048/level_5/run_07_seed_20760832.jsonl,40a389eddb6fde8c9601a36ebc66566fbfd60c9be6ce7cf40ede285aca483243
5,random2048,8,20760833,300,2.000000,153.151708,1.958842,1.958842,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1246,3.0000,4.807,1.0000,raw_decisions/main/random2048/level_5/run_08_seed_20760833.jsonl,b53a402a884b3f164739a1a382fd97a354766109484fdf57f1cd018b542a98ec
5,random2048,9,20760834,300,2.000000,134.097035,2.237186,2.237186,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.3003,3.0000,5.230,1.0000,raw_decisions/main/random2048/level_5/run_09_seed_20760834.jsonl,251b2e371bfdf6756738a9cf0a766ff9ac27414d3510289d7b7cc7aa35d6d882
5,random2048,10,20760835,300,2.000000,151.543927,1.979624,1.979624,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1649,3.0000,4.847,1.0000,raw_decisions/main/random2048/level_5/run_10_seed_20760835.jsonl,a6d331a846f53fd2c5ee115d03566fb423bde5a1e0c86d200e7dee99afe7a342
5,random2048,11,20760836,300,2.000000,149.136698,2.011577,2.011577,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1738,3.0085,4.913,1.0000,raw_decisions/main/random2048/level_5/run_11_seed_20760836.jsonl,02996b7026cd8dcc3ee3bb85851f69e3ab8fcf94619a573d6e5360f0132d1ad2
5,random2048,12,20760837,300,2.000000,142.303269,2.108174,2.108174,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2401,3.1699,5.180,0.9994,raw_decisions/main/random2048/level_5/run_12_seed_20760837.jsonl,6686d27451fd5e5ea3cc97a80c046060313167baa7a6eeb9dd23795023a7b152
5,random2048,13,20760838,300,2.000000,160.672481,1.867152,1.867152,300,0,0,0,298,1.000000,0.000000,0.000000,0.000000,0.993333,2.1013,3.0000,4.810,0.9914,raw_decisions/main/random2048/level_5/run_13_seed_20760838.jsonl,689001bd657252b81ce9865f7166fd90fd4e9faadad59cb09f5bab292e1995d6
5,random2048,14,20760839,300,2.000000,157.139115,1.909136,1.909136,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1015,2.8074,4.600,1.0000,raw_decisions/main/random2048/level_5/run_14_seed_20760839.jsonl,f6cdaf7d7949795478582dbf79fd2ad8cae9211e2f18b2498c1773462a44466a
5,random2048,15,20760840,300,2.000000,141.623919,2.118286,2.118286,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2852,3.3219,5.433,0.9984,raw_decisions/main/random2048/level_5/run_15_seed_20760840.jsonl,55386b70106ea8681348fa7659c2efaed1e6cab2152989241bf5c7e7cf3111ee
5,random2048,16,20760841,300,2.000000,140.689910,2.132349,2.132349,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.3063,3.3219,5.417,1.0000,raw_decisions/main/random2048/level_5/run_16_seed_20760841.jsonl,0dcaee423f6e580cfa69d6c90711e50c631520d6ea49a531078a7b2665b6707f
5,random2048,17,20760842,300,2.000000,159.077729,1.885871,1.885871,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1465,3.1699,4.973,0.9968,raw_decisions/main/random2048/level_5/run_17_seed_20760842.jsonl,4db06b2758db6e198db8e246376babd62a22cce4da1ab8a570dcbde5aa263dcb
5,random2048,18,20760843,300,2.000000,160.692143,1.866924,1.866924,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.0496,2.8170,4.493,1.0000,raw_decisions/main/random2048/level_5/run_18_seed_20760843.jsonl,b437443fdba4e3c36a7eeb5754798888238dc094023598cb305bfbb1f6c6b8b1
5,random2048,19,20760844,300,2.000000,153.434552,1.955231,1.955231,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1132,3.0000,4.677,1.0000,raw_decisions/main/random2048/level_5/run_19_seed_20760844.jsonl,2f2baff3046a484157dd980f03f61b833df166c5f6afe8983f3ff17b6e0e27aa
5,sequential,0,20770832,300,2.000000,148.220545,2.024011,2.024011,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2144,3.1699,5.183,1.0000,raw_decisions/main/sequential/level_5/run_00_seed_20770832.jsonl,63f8fa472b6ae291c90d89ec4a067d7d5268b18d194bb0cd559c68ac9970a88d
5,sequential,1,20770833,300,2.000000,166.852923,1.797991,1.797991,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.0840,3.0000,4.580,1.0000,raw_decisions/main/sequential/level_5/run_01_seed_20770833.jsonl,acd1e6c323eb051019b91dab06854abd24371836e343bf854de17cf01ba24eb1
5,sequential,2,20770834,300,2.000000,155.390028,1.930626,1.930626,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1451,3.1699,4.833,1.0000,raw_decisions/main/sequential/level_5/run_02_seed_20770834.jsonl,33b855f1edecad1a69eb85544e76d0eab0ba16b274e0c386e586eff9a03332a4
5,sequential,3,20770835,300,2.000000,142.799896,2.100842,2.100842,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2074,3.0000,5.023,1.0000,raw_decisions/main/sequential/level_5/run_03_seed_20770835.jsonl,c8e8a9f60a6b877a1a97d652165fbb4c1f3b1a55cdac10b645577b82e5b6e3e4
5,sequential,4,20770836,300,2.000000,145.036848,2.068440,2.068440,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2255,3.0000,5.087,1.0000,raw_decisions/main/sequential/level_5/run_04_seed_20770836.jsonl,f232128e66e1db04dd4721f95717b67938926e8ab6a1a1e9f13ba91daf9e27d7
5,sequential,5,20770837,300,2.000000,153.945058,1.948747,1.948747,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1448,3.0000,4.803,1.0000,raw_decisions/main/sequential/level_5/run_05_seed_20770837.jsonl,7845d8fc61d2efdd3ca89027282ec5dda396aa7e496356bf10f1ae474a6a4b51
5,sequential,6,20770838,300,2.000000,162.105898,1.850642,1.850642,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.0542,2.8170,4.560,1.0000,raw_decisions/main/sequential/level_5/run_06_seed_20770838.jsonl,0779304bb2aba817773f202403d81715002e5347558aa0e49bc2236df72e67f2
5,sequential,7,20770839,300,2.000000,154.786774,1.938150,1.938150,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1426,3.0085,4.880,1.0000,raw_decisions/main/sequential/level_5/run_07_seed_20770839.jsonl,5c53752ed7f2207107196f28da50af8d1ad738a5058357dafea95fa8a187d8b0
5,sequential,8,20770840,300,2.000000,151.450194,1.980849,1.980849,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1899,3.1699,5.000,1.0000,raw_decisions/main/sequential/level_5/run_08_seed_20770840.jsonl,cda4e6a71d12c076e678b48c930c95ded2e7726520ed4eb6cbf99e5855f7893f
5,sequential,9,20770841,300,2.000000,147.920249,2.028120,2.028120,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2030,3.1699,5.067,1.0000,raw_decisions/main/sequential/level_5/run_09_seed_20770841.jsonl,6d6b56591b4ced46f99df25035a4e1d0822fe8184ef7896df8505c8185452754
5,sequential,10,20770842,300,2.000000,149.672629,2.004374,2.004374,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1581,3.0000,4.877,1.0000,raw_decisions/main/sequential/level_5/run_10_seed_20770842.jsonl,44386882a0b1efc5a0090127c1dcee9571da64c289ad8f79bbddb10c3a641264
5,sequential,11,20770843,300,2.000000,145.316912,2.064453,2.064453,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2163,3.1699,5.070,1.0000,raw_decisions/main/sequential/level_5/run_11_seed_20770843.jsonl,c17dc9859fdc90e6fc4c35aae1824789afda3a62f3dde603c6f346d5096b5b43
5,sequential,12,20770844,300,2.000000,148.151536,2.024954,2.024954,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2154,3.0000,4.963,1.0000,raw_decisions/main/sequential/level_5/run_12_seed_20770844.jsonl,08a897d32f2fc21dab5e4547a5dea42bd20078164648fc1d8b81914bfd13ce2d
5,sequential,13,20770845,300,2.000000,138.466582,2.166588,2.166588,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2620,3.1699,5.290,1.0000,raw_decisions/main/sequential/level_5/run_13_seed_20770845.jsonl,91a27667c53392ef8a89669370007e31320361ae42f1649eb9179b13bee4748e
5,sequential,14,20770846,300,2.000000,156.557503,1.916229,1.916229,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1354,3.1699,4.830,1.0000,raw_decisions/main/sequential/level_5/run_14_seed_20770846.jsonl,c04d12410ae8999d7082581a3413e98d9f0d49a90f906ec09b0f8c78e661af6e
5,sequential,15,20770847,300,2.000000,163.592429,1.833826,1.833826,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1315,3.1699,4.843,1.0000,raw_decisions/main/sequential/level_5/run_15_seed_20770847.jsonl,e94394682b57e57713619be9aba12f8c7091fe95bb2d72f528c2079ab9fc49b4
5,sequential,16,20770848,300,2.000000,152.033807,1.973245,1.973245,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.1560,3.0000,4.870,1.0000,raw_decisions/main/sequential/level_5/run_16_seed_20770848.jsonl,3e110222516332a431fca4ea82d81f178a421181145996930c4021f24bb22851
5,sequential,17,20770849,300,2.000000,141.131321,2.125680,2.125680,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2579,3.0000,5.137,1.0000,raw_decisions/main/sequential/level_5/run_17_seed_20770849.jsonl,f574e0ebb8b70c46c9457234d26c9b00a4bd85c5a5c34a76f6de1be15f500a83
5,sequential,18,20770850,300,2.000000,139.686937,2.147660,2.147660,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.2678,3.1699,5.183,1.0000,raw_decisions/main/sequential/level_5/run_18_seed_20770850.jsonl,6b28373dd0d51214a035e216a0d2c871294e45a18603dac90f42843d6c434cfa
5,sequential,19,20770851,300,2.000000,160.184794,1.872837,1.872837,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.0953,2.8170,4.613,1.0000,raw_decisions/main/sequential/level_5/run_19_seed_20770851.jsonl,91796b8c89b65449ace9e1b48e869778e79f2e3ffeb702e670d03266f25234a9
5,smallpool16,0,20780839,300,2.000000,152.265358,1.970245,1.970245,300,0,0,0,278,1.000000,0.000000,0.000000,0.000000,0.926667,1.9361,2.9219,4.930,0.8934,raw_decisions/main/smallpool16/level_5/run_00_seed_20780839.jsonl,b7344e641057e26647d19c03c6b57d6e3ae1bbf8053ca0e2a2cade07af8615bd
5,smallpool16,1,20780840,300,2.000000,162.922665,1.841364,1.841364,300,0,0,0,274,1.000000,0.000000,0.000000,0.000000,0.913333,1.8732,2.5850,4.587,0.9011,raw_decisions/main/smallpool16/level_5/run_01_seed_20780840.jsonl,8c8f9cc2f088e78a58ac6bda1bfd19d715a5bae36974b25863e6990bf9caca99
5,smallpool16,2,20780841,300,2.000000,138.549276,2.165295,2.165295,300,0,0,0,268,1.000000,0.000000,0.000000,0.000000,0.893333,2.0290,2.7500,5.177,0.8842,raw_decisions/main/smallpool16/level_5/run_02_seed_20780841.jsonl,b04d83eab2d9beb7ae02661e2054ea66ee893ed5772209a0e1db656b2df1430b
5,smallpool16,3,20780842,300,2.000000,148.708490,2.017370,2.017370,300,0,0,0,263,1.000000,0.000000,0.000000,0.000000,0.876667,1.9372,2.7529,4.967,0.8820,raw_decisions/main/smallpool16/level_5/run_03_seed_20780842.jsonl,a9a9e4b4770616918f331f64203e8edbfb81f67edd061e5d88eec4cdb1aa5221
5,smallpool16,4,20780843,300,2.000000,161.712541,1.855144,1.855144,300,0,0,0,274,1.000000,0.000000,0.000000,0.000000,0.913333,1.9135,2.5850,4.733,0.9091,raw_decisions/main/smallpool16/level_5/run_04_seed_20780843.jsonl,520ced5e12718fee26eaffc59656956221d8b45d5479d1a31fe4e3fbd6bdf21b
5,smallpool16,5,20780844,300,2.000000,148.599479,2.018850,2.018850,300,0,0,0,270,1.000000,0.000000,0.000000,0.000000,0.900000,1.9562,2.7500,5.053,0.8868,raw_decisions/main/smallpool16/level_5/run_05_seed_20780844.jsonl,2e52ea3956b67dc20f1e3d841912b31ec4fb6d28be75a7d8fa282e8a2b0c1db5
5,smallpool16,6,20780845,300,2.000000,158.684811,1.890540,1.890540,300,0,0,0,262,1.000000,0.000000,0.000000,0.000000,0.873333,1.8819,2.7500,4.837,0.8823,raw_decisions/main/smallpool16/level_5/run_06_seed_20780845.jsonl,c4dd50bc2a63de17ac7beaac52cedd34452ea1c96a832ca1e4b99c12039d5209
5,smallpool16,7,20780846,300,2.000000,139.498821,2.150556,2.150556,300,0,0,0,279,1.000000,0.000000,0.000000,0.000000,0.930000,2.0580,2.8074,5.230,0.9002,raw_decisions/main/smallpool16/level_5/run_07_seed_20780846.jsonl,886dacb6ec766d027ecd3965630672ab7ba3ce4501d95f95a9b4287755abe81f
5,smallpool16,8,20780847,300,2.000000,145.515761,2.061632,2.061632,300,0,0,0,263,1.000000,0.000000,0.000000,0.000000,0.876667,1.9921,2.9219,5.227,0.8729,raw_decisions/main/smallpool16/level_5/run_08_seed_20780847.jsonl,f4bafbb03eb94ee6cdeb4e8be74a79e099ec643cf7f8b28ae63d0ba5564f1749
5,smallpool16,9,20780848,300,2.000000,167.327804,1.792888,1.792888,300,0,0,0,262,1.000000,0.000000,0.000000,0.000000,0.873333,1.8317,2.7500,4.627,0.8864,raw_decisions/main/smallpool16/level_5/run_09_seed_20780848.jsonl,3c98120127b2ff7999ef797100e3bdb334f1261a3d07cf4b229c540aaec2f4cc
5,smallpool16,10,20780849,300,2.000000,143.339016,2.092940,2.092940,300,0,0,0,268,1.000000,0.000000,0.000000,0.000000,0.893333,2.0310,2.8074,5.270,0.8818,raw_decisions/main/smallpool16/level_5/run_10_seed_20780849.jsonl,3c603ac8e708d9161bfeadd0ea3c3ca4cbf32328d2a9d1de0720a41dcfcc7e9e
5,smallpool16,11,20780850,300,2.000000,138.605249,2.164420,2.164420,300,0,0,0,258,1.000000,0.000000,0.000000,0.000000,0.860000,2.0198,2.8074,5.300,0.8674,raw_decisions/main/smallpool16/level_5/run_11_seed_20780850.jsonl,f15d094c79358d8afc1365e3131d3e0ba39fc1b7e8c09a22efddc15365250457
5,smallpool16,12,20780851,300,2.000000,153.868409,1.949718,1.949718,300,0,0,0,269,1.000000,0.000000,0.000000,0.000000,0.896667,1.9223,2.7500,4.740,0.8976,raw_decisions/main/smallpool16/level_5/run_12_seed_20780851.jsonl,a7994608a52d94580d4efb2055ef9d1e0e5b697c762d0d7ce65f415127ce9492
5,smallpool16,13,20780852,300,2.000000,141.675752,2.117511,2.117511,300,0,0,0,267,1.000000,0.000000,0.000000,0.000000,0.890000,1.9914,2.8074,5.233,0.8659,raw_decisions/main/smallpool16/level_5/run_13_seed_20780852.jsonl,fc3af54c3ba569435ef68f4ef41c27c9037cceacf9dfeeb2f5c9c1d6bf6beaf0
5,smallpool16,14,20780853,300,2.000000,149.920801,2.001057,2.001057,300,0,0,0,269,1.000000,0.000000,0.000000,0.000000,0.896667,1.9581,2.7529,5.190,0.8752,raw_decisions/main/smallpool16/level_5/run_14_seed_20780853.jsonl,8133a1f5fcea0bc8158587d0a028414b3fc0eb01752123f153a9abf129712639
5,smallpool16,15,20780854,300,2.000000,140.924316,2.128802,2.128802,300,0,0,0,252,1.000000,0.000000,0.000000,0.000000,0.840000,2.0335,2.7500,5.383,0.8657,raw_decisions/main/smallpool16/level_5/run_15_seed_20780854.jsonl,c9521fa1e42b3cbb689fdbd41069fe44ccb6053f477557443faa5d4214636cf5
5,smallpool16,16,20780855,300,2.000000,155.475466,1.929565,1.929565,300,0,0,0,283,1.000000,0.000000,0.000000,0.000000,0.943333,1.9503,2.7500,4.823,0.9007,raw_decisions/main/smallpool16/level_5/run_16_seed_20780855.jsonl,7678fad10a9e54a195b4b3938ff3a971e39e96f5f142c30c1b7ed4b3b3eb8846
5,smallpool16,17,20780856,300,2.000000,147.855569,2.029007,2.029007,300,0,0,0,270,1.000000,0.000000,0.000000,0.000000,0.900000,1.9522,2.7529,5.007,0.8821,raw_decisions/main/smallpool16/level_5/run_17_seed_20780856.jsonl,737163301403b37cfbccd8d7950a2ddda74b27cd488d4c1c1f8da503ac272c97
5,smallpool16,18,20780857,300,2.000000,167.804017,1.787800,1.787800,300,0,0,0,282,1.000000,0.000000,0.000000,0.000000,0.940000,1.8668,2.7500,4.507,0.9125,raw_decisions/main/smallpool16/level_5/run_18_seed_20780857.jsonl,4132c0efa0f75e87b140754d462572c73fa46ce58a32970d9a3d30881038a963
5,smallpool16,19,20780858,300,2.000000,149.443788,2.007444,2.007444,300,0,0,0,274,1.000000,0.000000,0.000000,0.000000,0.913333,1.9340,2.7500,4.833,0.8883,raw_decisions/main/smallpool16/level_5/run_19_seed_20780858.jsonl,66f00a9d6d99b7778d3394c571116b877305af72a3b161113674f5b74feab7d3
12,random2048,0,21460846,300,5.500000,63.448252,4.728263,4.728263,300,0,0,27,300,1.000000,0.000000,0.000000,0.090000,1.000000,3.3481,4.0588,10.707,0.9992,raw_decisions/main/random2048/level_12/run_00_seed_21460846.jsonl,c6696ba37f969ffdf2c32a88eb8a1b7b13edcbd5d3be1fc2c16a9f93769ef105
12,random2048,1,21460847,300,5.500000,51.994463,5.769845,5.769845,300,0,0,48,300,1.000000,0.000000,0.000000,0.160000,1.000000,3.6136,4.1699,12.617,1.0000,raw_decisions/main/random2048/level_12/run_01_seed_21460847.jsonl,95cb01edc8e184ad406706252144a06a5e2b3e53be4171b9e506efcf8be627c8
12,random2048,2,21460848,300,5.500000,58.780786,5.103709,5.103709,300,3,3,25,300,1.000000,0.010000,0.010000,0.083333,1.000000,3.3911,4.0875,11.047,0.9993,raw_decisions/main/random2048/level_12/run_02_seed_21460848.jsonl,30280833f97fe32770188e2bc8fd7a1513319cef8997a74064a48e1e7d226098
12,random2048,3,21460849,300,5.500000,59.100846,5.076069,5.076069,300,0,0,28,300,1.000000,0.000000,0.000000,0.093333,1.000000,3.3915,4.0000,11.047,0.9958,raw_decisions/main/random2048/level_12/run_03_seed_21460849.jsonl,f0e1ba555d9a76beeaf6f10c19cd2877742d76b78ab7a77ce4d63a79908be3cf
12,random2048,4,21460850,300,5.500000,53.419887,5.615886,5.615886,300,0,0,36,300,1.000000,0.000000,0.000000,0.120000,1.000000,3.5376,4.0875,11.963,1.0000,raw_decisions/main/random2048/level_12/run_04_seed_21460850.jsonl,149f6b9000372f0c2338d435c3fa9b8fcf1c5522f9e0cf515764e40562a02667
12,random2048,5,21460851,300,5.500000,57.770530,5.192959,5.192959,300,0,0,30,300,1.000000,0.000000,0.000000,0.100000,1.000000,3.4430,4.0000,11.380,1.0000,raw_decisions/main/random2048/level_12/run_05_seed_21460851.jsonl,f8e059a40208240ccb4e225d412afbd2c55c5a85e99ca9341c3c1018da24b3dc
