split,profile,condition,role,level,pair_id,schedule_seed,query_seed,payload_seed,arrival_schedule_sha256,query_schedule_sha256,decisions,fragments_total,benign_fragments_total,attack_fragments_total,measurement_start_seconds,measurement_end_seconds,samples_mean,samples_p95,entropy_mean,unique_ratio_mean,blocks_no_defense,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,rate_no_defense,rate_legacy,rate_combined,rate_volume,rate_entropy,rate_unique,raw_file,raw_sha256
calibration,bursty,benign_bursty,benign,24,0,4639347248214153384,10955617663979575976,10328589402834722599,89d494263d206a0f44d3c6fdd2e2e7a347cd7a250b27e7699c7d617f01a0380e,32a23dd8f773b48249a22fb77c40a81d6519c00dac73b2681437b9233f280bf3,150,576,576,0,6.154271892487829,43.40427189248783,25.186666666666667,42.099999999999966,4.545581926488256,0.994419912687801,0,150,81,81,126,150,0.0,1.0,0.54,0.54,0.84,1.0,raw_runs/calibration/benign_bursty/level_24/pair_00.jsonl.gz,5060eb9488ad65c09ab52e00a0a56099c69e7e2e943e738750a2c634bbbfa94b
calibration,bursty,benign_bursty,benign,24,1,5144653013124106122,2087096722690212531,12041893660834023887,2ce0d2b5cbb7e677aed8722f63db6909e61f37acaaa81b5202971eed2cef218b,47f338fbb52dce1d2e38c919017920584ae33ee652b14a771f858c49eaad9460,150,499,499,0,6.089194468599376,43.33919446859937,22.973333333333333,37.54999999999998,4.409091046510865,0.9919406450600686,0,150,67,67,116,150,0.0,1.0,0.44666666666666666,0.44666666666666666,0.7733333333333333,1.0,raw_runs/calibration/benign_bursty/level_24/pair_01.jsonl.gz,7d457313935cbbd44b06d006ada49300c24db4b07103e86a783e1242d3d43395
calibration,bursty,benign_bursty,benign,24,2,17128380560582995228,17068362342282950830,5150769653838757423,20556fca9e1c3abc873164a40d027211fefe05885157ce93dbf694ffc23e33d2,bfdc50642643aed65b5d9f9d4da335a66f7e642903904982bf7989a1be24f69d,150,513,513,0,6.123644765415644,43.37364476541565,24.426666666666666,38.0,4.503111820368394,0.9928485036218658,0,150,81,81,122,150,0.0,1.0,0.54,0.54,0.8133333333333334,1.0,raw_runs/calibration/benign_bursty/level_24/pair_02.jsonl.gz,2630d15825f7127af93049b5f50feb30b167a35e490a6b6dc94d359a3018444a
calibration,bursty,benign_bursty,benign,24,3,9134571109027334264,3383211158514900336,2180020405072772108,d0d44092c61f6b5a9ca62a4abcabdce1deb4542969416e2301ca4460810d53ae,fa870ccc3e440abafdee75a8995258f4ecf43653f1305e565f5227137dce8cdb,150,462,462,0,6.131721869441461,43.38172186944146,22.093333333333334,36.54999999999998,4.3344690668663866,0.9909659624780287,0,150,60,60,111,150,0.0,1.0,0.4,0.4,0.74,1.0,raw_runs/calibration/benign_bursty/level_24/pair_03.jsonl.gz,a5b50ddcb616e0420b84c30741137862c0fa2726ac0e825660d1a9b2ea3b3ab3
calibration,bursty,benign_bursty,benign,24,4,881858630062861589,15596871933087481293,9394310618662435560,d64328bfbfb163745620ea3b58b22963a8b7fc430e09a0c0172374fa31e14226,bffff94c6595010627632587e985cd7568fd1864b749971f7de39e5af7acbecf,150,536,536,0,6.195249192307558,43.44524919230756,24.986666666666668,37.0,4.566458705794698,0.9988214285714285,0,150,83,83,133,150,0.0,1.0,0.5533333333333333,0.5533333333333333,0.8866666666666667,1.0,raw_runs/calibration/benign_bursty/level_24/pair_04.jsonl.gz,80ebe1934ef7f7e39f0a61589b57ecf671f4a0ea30fedc400e9bac876d86d64b
calibration,bursty,benign_bursty,benign,24,5,8813645735851680996,7876064372487069723,5766916010013949353,77be85a18b41a97c202c49d9cdf250de15b9da0d86ff5134a94bba40dbbb5f79,d53f8808476610d699647ae7d9a456ae5dff202b13cb3176c1ae75c759866aa8,150,504,504,0,6.245146290606113,43.495146290606115,23.133333333333333,38.0,4.428858805113523,0.9971340048112751,0,150,65,65,119,150,0.0,1.0,0.43333333333333335,0.43333333333333335,0.7933333333333333,1.0,raw_runs/calibration/benign_bursty/level_24/pair_05.jsonl.gz,fec42db2f2952d75e512ff6a4548736dad46a4bcbcfee5fd82a2bc46477f152b
calibration,bursty,benign_bursty,benign,24,6,16450988029564330801,3148178103103781391,12886935041450253287,c76c58af2e22202b941f1c3edf6b296b862c1dbc76583ead8f5258747df31fc1,a51eeee6d4581d4a5d5f4ee37bb10e9e371c14c3c67483505d88e8d5f27278b5,150,514,514,0,6.0886973581614745,43.338697358161475,24.393333333333334,37.54999999999998,4.507010786331646,0.9919070015368745,0,150,81,81,127,150,0.0,1.0,0.54,0.54,0.8466666666666667,1.0,raw_runs/calibration/benign_bursty/level_24/pair_06.jsonl.gz,e9c83e89ea7638bc7086540bc7a7fe1260680a2fb39cf6d52ded2d127bec8b27
calibration,bursty,benign_bursty,benign,24,7,10436558862221912636,10779866620663370561,18038027353040387722,e02ab137a3b58656a29f246f2ce83cd16168d874139ad2877dcc58a6c7751f85,a33198bdf4d0a3599ad38988781acfbce609b246900412cfb6ecc785d64f9046,150,530,530,0,6.218726207878652,43.46872620787865,24.58,37.0,4.540332496709064,0.9998095238095239,0,150,82,82,129,150,0.0,1.0,0.5466666666666666,0.5466666666666666,0.86,1.0,raw_runs/calibration/benign_bursty/level_24/pair_07.jsonl.gz,0e6186d464449bb6ea7a175eb6fb6a5e6872c44ee5b98f4a0541f57c771844fc
calibration,bursty,benign_bursty,benign,24,8,14491253036515472692,17687843615610548673,5703945832311465690,47c5de70b6cea6be22b33930510a1725be6c54ce8fe1cf5bed1f3e2bcb0016e8,7dc0b3001c16def9ea37c9a871be1811d6f965395a32f2b4c841a1d9c7a88b73,150,512,512,0,6.166207106504732,43.41620710650473,23.913333333333334,42.54999999999998,4.427176773102609,0.9866385706312815,0,150,71,71,113,150,0.0,1.0,0.47333333333333333,0.47333333333333333,0.7533333333333333,1.0,raw_runs/calibration/benign_bursty/level_24/pair_08.jsonl.gz,b2bdfeab024a5c65a572bf5e49ec6861c25cff777f76e4f533c55fc8469e742d
calibration,bursty,benign_bursty,benign,24,9,5305121391958987885,18021529853778432119,6614257685305091143,ccaabe3c34de5b3709870113aaf273cc6b5f61b16feaf0d5a3420acdd201f7ab,4783a00a8ad70aea25df1da75cbe12b6bf73dcd4fb33d3eb4398f97719bfbe5b,150,548,548,0,6.117895189030931,43.36789518903093,25.093333333333334,41.0,4.528105210741651,0.9882056609846457,0,150,81,81,129,150,0.0,1.0,0.54,0.54,0.86,1.0,raw_runs/calibration/benign_bursty/level_24/pair_09.jsonl.gz,ab415603c09def13ebc64ddfd10876e0d97f8176b7d84c8ad1639967e1219bb8
