behavior,phase,level,run,seed,space,configuration,rate
random2048,main,5,0,20760825,2048,initial,0.0
random2048,main,5,0,20760825,2048,locked,0.0
random2048,main,5,0,20760825,65536,initial,0.0
random2048,main,5,0,20760825,65536,locked,0.0
random2048,main,5,1,20760826,2048,initial,0.0
random2048,main,5,1,20760826,2048,locked,0.0
random2048,main,5,1,20760826,65536,initial,0.0
random2048,main,5,1,20760826,65536,locked,0.0
random2048,main,5,2,20760827,2048,initial,0.0
random2048,main,5,2,20760827,2048,locked,0.0
random2048,main,5,2,20760827,65536,initial,0.0
random2048,main,5,2,20760827,65536,locked,0.0
random2048,main,5,3,20760828,2048,initial,0.0
random2048,main,5,3,20760828,2048,locked,0.0
random2048,main,5,3,20760828,65536,initial,0.0
random2048,main,5,3,20760828,65536,locked,0.0
random2048,main,5,4,20760829,2048,initial,0.0
random2048,main,5,4,20760829,2048,locked,0.0
random2048,main,5,4,20760829,65536,initial,0.0
random2048,main,5,4,20760829,65536,locked,0.0
random2048,main,5,5,20760830,2048,initial,0.0
random2048,main,5,5,20760830,2048,locked,0.0
random2048,main,5,5,20760830,65536,initial,0.0
random2048,main,5,5,20760830,65536,locked,0.0
random2048,main,5,6,20760831,2048,initial,0.0
random2048,main,5,6,20760831,2048,locked,0.0
random2048,main,5,6,20760831,65536,initial,0.0
random2048,main,5,6,20760831,65536,locked,0.0
random2048,main,5,7,20760832,2048,initial,0.0
random2048,main,5,7,20760832,2048,locked,0.0
random2048,main,5,7,20760832,65536,initial,0.0
random2048,main,5,7,20760832,65536,locked,0.0
random2048,main,5,8,20760833,2048,initial,0.0
random2048,main,5,8,20760833,2048,locked,0.0
random2048,main,5,8,20760833,65536,initial,0.0
random2048,main,5,8,20760833,65536,locked,0.0
random2048,main,5,9,20760834,2048,initial,0.0
random2048,main,5,9,20760834,2048,locked,0.0
random2048,main,5,9,20760834,65536,initial,0.0
random2048,main,5,9,20760834,65536,locked,0.0
random2048,main,5,10,20760835,2048,initial,0.0
random2048,main,5,10,20760835,2048,locked,0.0
random2048,main,5,10,20760835,65536,initial,0.0
random2048,main,5,10,20760835,65536,locked,0.0
random2048,main,5,11,20760836,2048,initial,0.0
random2048,main,5,11,20760836,2048,locked,0.0
random2048,main,5,11,20760836,65536,initial,0.0
random2048,main,5,11,20760836,65536,locked,0.0
random2048,main,5,12,20760837,2048,initial,0.0
random2048,main,5,12,20760837,2048,locked,0.0
random2048,main,5,12,20760837,65536,initial,0.0
random2048,main,5,12,20760837,65536,locked,0.0
random2048,main,5,13,20760838,2048,initial,0.0
random2048,main,5,13,20760838,2048,locked,0.0
random2048,main,5,13,20760838,65536,initial,0.0
random2048,main,5,13,20760838,65536,locked,0.0
random2048,main,5,14,20760839,2048,initial,0.0
random2048,main,5,14,20760839,2048,locked,0.0
random2048,main,5,14,20760839,65536,initial,0.0
random2048,main,5,14,20760839,65536,locked,0.0
random2048,main,5,15,20760840,2048,initial,0.0
random2048,main,5,15,20760840,2048,locked,0.0
random2048,main,5,15,20760840,65536,initial,0.0
random2048,main,5,15,20760840,65536,locked,0.0
random2048,main,5,16,20760841,2048,initial,0.0
random2048,main,5,16,20760841,2048,locked,0.0
random2048,main,5,16,20760841,65536,initial,0.0
random2048,main,5,16,20760841,65536,locked,0.0
random2048,main,5,17,20760842,2048,initial,0.0
random2048,main,5,17,20760842,2048,locked,0.0
random2048,main,5,17,20760842,65536,initial,0.0
random2048,main,5,17,20760842,65536,locked,0.0
random2048,main,5,18,20760843,2048,initial,0.0
random2048,main,5,18,20760843,2048,locked,0.0
random2048,main,5,18,20760843,65536,initial,0.0
random2048,main,5,18,20760843,65536,locked,0.0
random2048,main,5,19,20760844,2048,initial,0.0
random2048,main,5,19,20760844,2048,locked,0.0
random2048,main,5,19,20760844,65536,initial,0.0
random2048,main,5,19,20760844,65536,locked,0.0
sequential,main,5,0,20770832,2048,initial,0.0
sequential,main,5,0,20770832,2048,locked,0.0
sequential,main,5,0,20770832,65536,initial,0.0
sequential,main,5,0,20770832,65536,locked,0.0
sequential,main,5,1,20770833,2048,initial,0.0
sequential,main,5,1,20770833,2048,locked,0.0
sequential,main,5,1,20770833,65536,initial,0.0
sequential,main,5,1,20770833,65536,locked,0.0
sequential,main,5,2,20770834,2048,initial,0.0
sequential,main,5,2,20770834,2048,locked,0.0
sequential,main,5,2,20770834,65536,initial,0.0
sequential,main,5,2,20770834,65536,locked,0.0
sequential,main,5,3,20770835,2048,initial,0.0
sequential,main,5,3,20770835,2048,locked,0.0
sequential,main,5,3,20770835,65536,initial,0.0
sequential,main,5,3,20770835,65536,locked,0.0
sequential,main,5,4,20770836,2048,initial,0.0
sequential,main,5,4,20770836,2048,locked,0.0
sequential,main,5,4,20770836,65536,initial,0.0
sequential,main,5,4,20770836,65536,locked,0.0
sequential,main,5,5,20770837,2048,initial,0.0
sequential,main,5,5,20770837,2048,locked,0.0
sequential,main,5,5,20770837,65536,initial,0.0
sequential,main,5,5,20770837,65536,locked,0.0
sequential,main,5,6,20770838,2048,initial,0.0
sequential,main,5,6,20770838,2048,locked,0.0
sequential,main,5,6,20770838,65536,initial,0.0
sequential,main,5,6,20770838,65536,locked,0.0
sequential,main,5,7,20770839,2048,initial,0.0
sequential,main,5,7,20770839,2048,locked,0.0
sequential,main,5,7,20770839,65536,initial,0.0
sequential,main,5,7,20770839,65536,locked,0.0
sequential,main,5,8,20770840,2048,initial,0.0
sequential,main,5,8,20770840,2048,locked,0.0
sequential,main,5,8,20770840,65536,initial,0.0
sequential,main,5,8,20770840,65536,locked,0.0
sequential,main,5,9,20770841,2048,initial,0.0
sequential,main,5,9,20770841,2048,locked,0.0
sequential,main,5,9,20770841,65536,initial,0.0
