behavior,phase,level,space,configuration,mean,ci_low,ci_high,runs
random2048,high_load,600,2048,initial,1.0,1.0,1.0,20
random2048,high_load,600,2048,locked,0.0,0.0,0.0,20
random2048,high_load,600,65536,initial,1.0,1.0,1.0,20
random2048,high_load,600,65536,locked,1.0,1.0,1.0,20
random2048,high_load,1200,2048,initial,1.0,1.0,1.0,20
random2048,high_load,1200,2048,locked,0.0,0.0,0.0,20
random2048,high_load,1200,65536,initial,1.0,1.0,1.0,20
random2048,high_load,1200,65536,locked,1.0,1.0,1.0,20
random2048,high_load,1400,2048,initial,1.0,1.0,1.0,20
random2048,high_load,1400,2048,locked,0.0,0.0,0.0,20
random2048,high_load,1400,65536,initial,1.0,1.0,1.0,20
random2048,high_load,1400,65536,locked,1.0,1.0,1.0,20
random2048,high_load,1600,2048,initial,0.2515,0.09599166666666667,0.4338416666666665,20
random2048,high_load,1600,2048,locked,0.0,0.0,0.0,20
random2048,high_load,1600,65536,initial,1.0,1.0,1.0,20
random2048,high_load,1600,65536,locked,1.0,1.0,1.0,20
random2048,high_load,1800,2048,initial,0.0,0.0,0.0,20
random2048,high_load,1800,2048,locked,0.0,0.0,0.0,20
random2048,high_load,1800,65536,initial,1.0,1.0,1.0,20
random2048,high_load,1800,65536,locked,1.0,1.0,1.0,20
random2048,high_load,2000,2048,initial,0.0,0.0,0.0,20
random2048,high_load,2000,2048,locked,0.0,0.0,0.0,20
random2048,high_load,2000,65536,initial,1.0,1.0,1.0,20
random2048,high_load,2000,65536,locked,1.0,1.0,1.0,20
random2048,high_load,3000,2048,initial,0.0,0.0,0.0,20
random2048,high_load,3000,2048,locked,0.0,0.0,0.0,20
random2048,high_load,3000,65536,initial,1.0,1.0,1.0,20
random2048,high_load,3000,65536,locked,1.0,1.0,1.0,20
random2048,high_load,6000,2048,initial,0.0,0.0,0.0,20
random2048,high_load,6000,2048,locked,0.0,0.0,0.0,20
random2048,high_load,6000,65536,initial,1.0,1.0,1.0,20
random2048,high_load,6000,65536,locked,1.0,1.0,1.0,20
random2048,main,5,2048,initial,0.0,0.0,0.0,20
random2048,main,5,2048,locked,0.0,0.0,0.0,20
random2048,main,5,65536,initial,0.0,0.0,0.0,20
random2048,main,5,65536,locked,0.0,0.0,0.0,20
random2048,main,12,2048,initial,0.0006666666666666668,0.0,0.0018333333333333333,20
random2048,main,12,2048,locked,0.0,0.0,0.0,20
random2048,main,12,65536,initial,0.0006666666666666668,0.0,0.0018333333333333333,20
random2048,main,12,65536,locked,0.0,0.0,0.0,20
random2048,main,18,2048,initial,0.1,0.07449583333333332,0.1276708333333333,20
random2048,main,18,2048,locked,0.0,0.0,0.0,20
random2048,main,18,65536,initial,0.1,0.07416666666666669,0.1275041666666666,20
random2048,main,18,65536,locked,0.0,0.0,0.0,20
random2048,main,24,2048,initial,0.5315,0.48583333333333334,0.5800041666666667,20
random2048,main,24,2048,locked,0.0,0.0,0.0,20
random2048,main,24,65536,initial,0.5315,0.4865000000000001,0.5815041666666666,20
random2048,main,24,65536,locked,0.0,0.0,0.0,20
random2048,main,36,2048,initial,0.9773333333333335,0.9606666666666668,0.9905000000000002,20
random2048,main,36,2048,locked,0.0,0.0,0.0,20
random2048,main,36,65536,initial,0.9773333333333335,0.9610000000000001,0.9909999999999999,20
random2048,main,36,65536,locked,0.0,0.0,0.0,20
random2048,main,60,2048,initial,1.0,1.0,1.0,20
random2048,main,60,2048,locked,0.19366666666666668,0.1319958333333333,0.2613333333333333,20
random2048,main,60,65536,initial,1.0,1.0,1.0,20
random2048,main,60,65536,locked,0.24050000000000002,0.17483333333333334,0.30900416666666664,20
random2048,main,120,2048,initial,1.0,1.0,1.0,20
random2048,main,120,2048,locked,1.0,1.0,1.0,20
