policy,workload,metric,mean,ci_low,ci_high,runs
B0_OFF,BENIGN_DIVERSE_MODERATE,majority_query_rate,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_MODERATE,any_query_rate,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_MODERATE,majority_interval_rate,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_MODERATE,any_interval_rate,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_MODERATE,mean_query_ratio,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_MODERATE,mean_peak_ratio,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_HIGH,majority_query_rate,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_HIGH,any_query_rate,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_HIGH,majority_interval_rate,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_HIGH,any_interval_rate,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_HIGH,mean_query_ratio,0.0,0.0,0.0,20
B0_OFF,BENIGN_DIVERSE_HIGH,mean_peak_ratio,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_MODERATE,majority_query_rate,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_MODERATE,any_query_rate,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_MODERATE,majority_interval_rate,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_MODERATE,any_interval_rate,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_MODERATE,mean_query_ratio,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_MODERATE,mean_peak_ratio,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_HIGH,majority_query_rate,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_HIGH,any_query_rate,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_HIGH,majority_interval_rate,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_HIGH,any_interval_rate,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_HIGH,mean_query_ratio,0.0,0.0,0.0,20
B0_OFF,ATTACK_DIVERSE_HIGH,mean_peak_ratio,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,majority_query_rate,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,any_query_rate,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,majority_interval_rate,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,any_interval_rate,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,mean_query_ratio,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,mean_peak_ratio,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_HIGH,majority_query_rate,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_HIGH,any_query_rate,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_HIGH,majority_interval_rate,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_HIGH,any_interval_rate,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_HIGH,mean_query_ratio,0.0,0.0,0.0,20
B1_RL2_TC,BENIGN_DIVERSE_HIGH,mean_peak_ratio,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,majority_query_rate,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,any_query_rate,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,majority_interval_rate,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,any_interval_rate,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,mean_query_ratio,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,mean_peak_ratio,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_HIGH,majority_query_rate,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_HIGH,any_query_rate,0.0,0.0,0.0,20
B1_RL2_TC,ATTACK_DIVERSE_HIGH,majority_interval_rate,0.0,0.0,0.0,20
