policy,rate,metric,mean,ci_low,ci_high,run_pairs
B0_OFF,12,ratio_at_query_AP,0.5,0.5,0.5,20
B0_OFF,12,peak_ratio_during_query_AP,0.5,0.5,0.5,20
B0_OFF,12,majority_during_query_J,0.0,0.0,0.0,20
B0_OFF,12,any_during_query_J,0.0,0.0,0.0,20
B0_OFF,200,ratio_at_query_AP,0.5,0.5,0.5,20
B0_OFF,200,peak_ratio_during_query_AP,0.5,0.5,0.5,20
B0_OFF,200,majority_during_query_J,0.0,0.0,0.0,20
B0_OFF,200,any_during_query_J,0.0,0.0,0.0,20
B1_RL2_TC,12,ratio_at_query_AP,0.5,0.5,0.5,20
B1_RL2_TC,12,peak_ratio_during_query_AP,0.5,0.5,0.5,20
B1_RL2_TC,12,majority_during_query_J,0.0,0.0,0.0,20
B1_RL2_TC,12,any_during_query_J,0.0,0.0,0.0,20
B1_RL2_TC,200,ratio_at_query_AP,0.5,0.5,0.5,20
B1_RL2_TC,200,peak_ratio_during_query_AP,0.5,0.5,0.5,20
B1_RL2_TC,200,majority_during_query_J,0.0,0.0,0.0,20
B1_RL2_TC,200,any_during_query_J,0.0,0.0,0.0,20
B5_LOCKED_TC,12,ratio_at_query_AP,0.5,0.5,0.5,20
B5_LOCKED_TC,12,peak_ratio_during_query_AP,0.5,0.5,0.5,20
B5_LOCKED_TC,12,majority_during_query_J,0.0,0.0,0.0,20
B5_LOCKED_TC,12,any_during_query_J,0.0,0.0,0.0,20
B5_LOCKED_TC,200,ratio_at_query_AP,0.5,0.5,0.5,20
B5_LOCKED_TC,200,peak_ratio_during_query_AP,0.5,0.5,0.5,20
B5_LOCKED_TC,200,majority_during_query_J,0.0,0.0,0.0,20
B5_LOCKED_TC,200,any_during_query_J,0.0,0.0,0.0,20
RFC_DROP_NATIVE,12,ratio_at_query_AP,0.5,0.5,0.5,20
RFC_DROP_NATIVE,12,peak_ratio_during_query_AP,0.5,0.5,0.5,20
RFC_DROP_NATIVE,12,majority_during_query_J,0.0,0.0,0.0,20
RFC_DROP_NATIVE,12,any_during_query_J,0.0,0.0,0.0,20
RFC_DROP_NATIVE,200,ratio_at_query_AP,0.5,0.5,0.5,20
RFC_DROP_NATIVE,200,peak_ratio_during_query_AP,0.5,0.5,0.5,20
RFC_DROP_NATIVE,200,majority_during_query_J,0.0,0.0,0.0,20
RFC_DROP_NATIVE,200,any_during_query_J,0.0,0.0,0.0,20
