policy,workload,rep,trials,majority_query_rate,any_query_rate,majority_interval_rate,any_interval_rate,mean_query_ratio,mean_peak_ratio,max_tail_ratio,zero_ratio_in_both_capture_orders,first_fragments,noninitial_fragments,forged_logged,forged_observed,clock_offset_range_ms,capture_order_inversions,max_capture_inversion_ms,record_order_max_orphan_ratio
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,394,394,50,50,0.000764,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,342,342,0,0,579.00414,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5661,5661,50,50,248.531188,1,243.415908,0.0
B0_OFF,BENIGN_DIVERSE_MODERATE,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,339,339,0,0,0.000766,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,373,373,0,0,966.48337,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5668,5668,0,0,0.000762,6,0.018477,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,323,323,50,50,0.015199,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4860,4860,50,50,0.001026,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5684,5684,0,0,0.000768,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_HIGH,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5431,5431,0,0,2404.554222,1,221.358215,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4859,4859,50,50,1560.372377,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.001141,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,320,320,50,50,0.000765,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,399,399,0,0,0.000765,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_HIGH,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4881,4881,50,50,0.000665,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5958,5958,0,0,1584.449215,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,397,397,50,50,0.000666,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,325,325,50,50,1564.327082,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,396,396,0,0,0.000759,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6004,6004,0,0,1597.936595,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_MODERATE,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,339,339,0,0,1621.419682,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5632,5632,0,0,0.000668,5,0.000381,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4856,4856,50,50,1554.051919,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,1596.495143,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_HIGH,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5004,5004,0,0,1670.376547,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5636,5636,50,50,0.022233,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_HIGH,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4851,4851,50,50,1569.70896,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,381,381,0,0,983.297488,1,0.039156,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.00038,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,342,342,0,0,1603.086459,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5748,5748,0,0,1596.699186,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4850,4850,50,50,0.000571,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_HIGH,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4869,4869,50,50,0.000665,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,324,324,50,50,0.000666,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,393,393,0,0,0.000665,0,0.0,0.0
