source_experiment,source_artifact,source_hash,scope,attack_condition,benign_condition,level,variant_or_comparison,metric,estimate,ci95_low,ci95_high,n_independent_units,independent_unit,inference_method,measurement_status,notes,registered_meaningful_margin,verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_sweep_continuous,benign_continuous,24,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_sweep_continuous,benign_continuous,60,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_sweep_continuous,benign_continuous,120,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_sweep_continuous,benign_continuous,200,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_random_continuous,benign_continuous,24,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_random_continuous,benign_continuous,60,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_random_continuous,benign_continuous,120,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_random_continuous,benign_continuous,200,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_fixed_continuous,benign_continuous,24,combined_minus_volume,Delta_J,-0.5096666666666667,-0.5450083333333333,-0.4699999999999999,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_fixed_continuous,benign_continuous,60,combined_minus_volume,Delta_J,-1.0,-1.0,-1.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_fixed_continuous,benign_continuous,120,combined_minus_volume,Delta_J,-1.0,-1.0,-1.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_fixed_continuous,benign_continuous,200,combined_minus_volume,Delta_J,-1.0,-1.0,-1.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_dup_sweep_continuous,benign_continuous,24,combined_minus_volume,Delta_J,-0.5096666666666667,-0.545,-0.47166666666666657,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_dup_sweep_continuous,benign_continuous,60,combined_minus_volume,Delta_J,-1.0,-1.0,-1.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_dup_sweep_continuous,benign_continuous,120,combined_minus_volume,Delta_J,-1.0,-1.0,-1.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_dup_sweep_continuous,benign_continuous,200,combined_minus_volume,Delta_J,-1.0,-1.0,-1.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_sweep_bursty,benign_bursty,24,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_sweep_bursty,benign_bursty,60,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_sweep_bursty,benign_bursty,120,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,all_test_cells,attack_sweep_bursty,benign_bursty,200,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,cell_level_no_registered_verdict
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,primary_macro,attack_sweep_continuous,matching_benign,macro_24_60_120_200,combined_minus_legacy,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,practical_equivalence_within_registered_margin
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,primary_macro,attack_sweep_continuous,matching_benign,macro_24_60_120_200,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,practical_equivalence_within_registered_margin
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,primary_macro,attack_sweep_continuous,matching_benign,macro_24_60_120_200,combined_minus_entropy,Delta_J,-0.0005833333333333371,-0.0013333333333333404,8.333333333333248e-05,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,practical_equivalence_within_registered_margin
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,primary_macro,attack_sweep_continuous,matching_benign,macro_24_60_120_200,combined_minus_unique,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,practical_equivalence_within_registered_margin
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,primary_macro,attack_sweep_bursty,matching_benign,macro_24_60_120_200,combined_minus_legacy,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,practical_equivalence_within_registered_margin
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,primary_macro,attack_sweep_bursty,matching_benign,macro_24_60_120_200,combined_minus_volume,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,practical_equivalence_within_registered_margin
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,primary_macro,attack_sweep_bursty,matching_benign,macro_24_60_120_200,combined_minus_entropy,Delta_J,-0.0013333333333333294,-0.002083333333333334,-0.0005833333333333274,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,practical_equivalence_within_registered_margin
E2,e2_results.json,21769dc99dff13d4dffa43962a2e27751395c722a38fe828cfe6a0e44ab45e01,primary_macro,attack_sweep_bursty,matching_benign,macro_24_60_120_200,combined_minus_unique,Delta_J,0.0,0.0,0.0,20,paired_trace,5000 whole-pair bootstrap resamples,measured,,0.05,practical_equivalence_within_registered_margin
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_continuous,benign_continuous,24,Delta_J_new_B5_minus_B2,Delta_J,0.0,0.0,0.0,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_continuous,benign_continuous,24,Delta_J_new_B5_minus_old_B5,Delta_J,0.0,0.0,0.0,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_continuous,benign_continuous,60,Delta_J_new_B5_minus_B2,Delta_J,0.04777777777777779,0.026666666666666696,0.06777777777777778,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_continuous,benign_continuous,60,Delta_J_new_B5_minus_old_B5,Delta_J,0.04777777777777779,0.0277777777777778,0.06777777777777778,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_continuous,benign_continuous,120,Delta_J_new_B5_minus_B2,Delta_J,0.0,0.0,0.0,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_continuous,benign_continuous,120,Delta_J_new_B5_minus_old_B5,Delta_J,0.0,0.0,0.0,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_continuous,benign_continuous,200,Delta_J_new_B5_minus_B2,Delta_J,0.0011111111111111183,0.0,0.003333333333333355,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_continuous,benign_continuous,200,Delta_J_new_B5_minus_old_B5,Delta_J,0.0011111111111111183,0.0,0.003333333333333355,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_bursty,benign_bursty,24,Delta_J_new_B5_minus_B2,Delta_J,0.0,0.0,0.0,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_bursty,benign_bursty,24,Delta_J_new_B5_minus_old_B5,Delta_J,0.0,0.0,0.0,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_bursty,benign_bursty,60,Delta_J_new_B5_minus_B2,Delta_J,0.025555555555555564,0.020000000000000018,0.031111111111111107,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_bursty,benign_bursty,60,Delta_J_new_B5_minus_old_B5,Delta_J,0.025555555555555564,0.020000000000000018,0.031111111111111107,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_bursty,benign_bursty,120,Delta_J_new_B5_minus_B2,Delta_J,0.006666666666666672,0.002222222222222218,0.011111111111111127,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_bursty,benign_bursty,120,Delta_J_new_B5_minus_old_B5,Delta_J,0.006666666666666672,0.002222222222222218,0.011111111111111127,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_bursty,benign_bursty,200,Delta_J_new_B5_minus_B2,Delta_J,0.005555555555555554,0.0,0.016666666666666663,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,primary,attack_sweep_bursty,benign_bursty,200,Delta_J_new_B5_minus_old_B5,Delta_J,0.005555555555555554,0.0,0.016666666666666663,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,failure_probe,attack_fixed_continuous,benign_continuous,24,Delta_J_new_B5_minus_B2,Delta_J,0.0,0.0,0.0,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,failure_probe,attack_fixed_continuous,benign_continuous,24,Delta_J_new_B5_minus_old_B5,Delta_J,0.49333333333333335,0.4466666666666667,0.5466666666666667,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
E3,e3_test_results.json,7bf6071371b849620514db3f0d3ea4ee766c8e17299da04fbdb293c2df48ed64,failure_probe,attack_fixed_continuous,benign_continuous,60,Delta_J_new_B5_minus_B2,Delta_J,-0.2688888888888889,-0.31444444444444447,-0.22,6,paired_trace,5000 paired-trace bootstrap resamples,measured,,,report_only_no_E3_hard_constraint
